Año,Trimestre,Provincia,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1000 Mbps,+1000-5000 Mbps,+5000 Mbps,Otras_Velocidades,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otras_Tecnologias,Total_Tecnologias
2023,2,Tierra Del Fuego,20699.0,27810.0,4724.0,496.0,33.0,671.0,0.0,1.0,0.0,7121.0,16.92,31.54,106.38,12392.0,45224.0,525.0,157.0,337.0,58635.0
2023,2,Tucumán,37111.0,23861.0,81424.0,75389.0,4.0,44511.0,1807.0,0.0,0.0,488.0,96.69,15.05,60.75,50019.0,20012.0,188986.0,4060.0,525.0,263602.0
2023,1,Buenos Aires,568004.0,287541.0,1251104.0,1493086.0,274337.0,783713.0,67577.0,0.0,0.0,95566.0,116.18,26.81,79.0,304583.0,2761043.0,1551074.0,132458.0,71770.0,4820928.0
2023,1,Capital Federal,93745.0,37177.0,135241.0,534470.0,78032.0,537821.0,25376.0,0.0,0.0,106867.0,188.65,50.23,122.59,132149.0,1223930.0,156222.0,4605.0,31823.0,1548729.0
2023,1,Catamarca,6836.0,5525.0,32860.0,15287.0,42.0,8508.0,123.0,0.0,0.0,2311.0,87.41,16.83,66.17,6980.0,10655.0,50230.0,1384.0,2243.0,71492.0
2023,1,Chaco,31083.0,8497.0,31616.0,39777.0,1955.0,25442.0,125.0,0.0,0.0,3947.0,104.33,11.53,43.15,21243.0,60727.0,49756.0,8142.0,2574.0,142442.0
2023,1,Chubut,78448.0,36183.0,34076.0,736.0,1.0,35.0,0.0,0.0,0.0,20574.0,18.36,26.32,85.89,45448.0,73525.0,9815.0,30521.0,10744.0,170053.0
2023,1,Córdoba,243780.0,76522.0,207519.0,268274.0,124.0,219101.0,1162.0,0.0,0.0,33490.0,109.57,27.2,88.84,136976.0,455139.0,386297.0,61066.0,10494.0,1049972.0
2023,1,Corrientes,49078.0,7626.0,30385.0,32110.0,2571.0,26194.0,72.0,0.0,0.0,8984.0,94.8,13.71,52.05,29577.0,81116.0,30016.0,11071.0,5240.0,157020.0
2023,1,Entre Ríos,97511.0,21428.0,59210.0,47527.0,1598.0,47466.0,138.0,0.0,0.0,0.0,86.71,19.37,64.79,51084.0,141699.0,44508.0,26415.0,11172.0,274878.0
2023,1,Formosa,34214.0,6237.0,1242.0,8405.0,0.0,10162.0,23.0,0.0,0.0,702.0,73.96,9.87,38.79,12502.0,17421.0,13345.0,17490.0,227.0,60985.0
2023,1,Jujuy,31354.0,29394.0,43181.0,7599.0,3.0,4134.0,240.0,0.0,0.0,2076.0,42.75,14.88,58.2,15306.0,51082.0,46271.0,4067.0,1255.0,117981.0
2023,1,La Pampa,63290.0,10566.0,22309.0,3001.0,4.0,376.0,0.0,0.0,0.0,16958.0,20.09,31.81,96.55,7049.0,59944.0,28126.0,20103.0,1282.0,116504.0
2023,1,La Rioja,4882.0,24992.0,40116.0,9429.0,137.0,6847.0,2.0,0.0,0.0,0.0,63.13,21.23,79.74,4652.0,54604.0,20722.0,6395.0,32.0,86405.0
2023,1,Mendoza,56628.0,38159.0,149686.0,22217.0,20.0,4967.0,156.0,0.0,0.0,21186.0,41.45,14.34,51.4,37646.0,73678.0,152534.0,27592.0,1569.0,293019.0
2023,1,Misiones,60078.0,11884.0,34220.0,43672.0,4633.0,27599.0,355.0,0.0,0.0,8244.0,89.81,14.7,53.97,30455.0,82834.0,56619.0,12896.0,7881.0,190685.0
2023,1,Neuquén,53501.0,13251.0,29409.0,31127.0,293.0,30478.0,86.0,0.0,0.0,2267.0,93.42,23.38,78.55,28030.0,72639.0,32296.0,23937.0,3510.0,160412.0
2023,1,Río Negro,45873.0,30516.0,11043.0,28080.0,758.0,18054.0,235.0,0.0,0.0,29772.0,74.4,21.27,69.16,33604.0,49128.0,45329.0,16857.0,19413.0,164331.0
2023,1,Salta,101210.0,4833.0,28919.0,33401.0,456.0,29615.0,214.0,0.0,0.0,6778.0,76.85,13.97,57.67,33427.0,96922.0,56259.0,12269.0,6549.0,205426.0
2023,1,San Juan,43316.0,24421.0,21032.0,783.0,0.0,356.0,19.0,0.0,0.0,11840.0,18.7,12.67,49.75,38568.0,21215.0,12798.0,21912.0,7274.0,101767.0
2023,1,San Luis,36497.0,89432.0,1003.0,216.0,0.0,31.0,4931.0,0.0,0.0,3353.0,55.85,25.8,90.17,6283.0,42789.0,6952.0,78954.0,485.0,135463.0
2023,1,Santa Cruz,29769.0,11400.0,7573.0,575.0,0.0,0.0,0.0,0.0,0.0,1044.0,14.98,12.92,43.42,9702.0,23839.0,12217.0,3660.0,943.0,50361.0
2023,1,Santa Fe,287029.0,83909.0,160717.0,169306.0,13489.0,152985.0,738.0,0.0,0.0,18101.0,92.22,24.57,78.13,138935.0,405618.0,283988.0,43487.0,14246.0,886274.0
2023,1,Santiago Del Estero,80104.0,21294.0,1778.0,6216.0,0.0,8159.0,11.0,0.0,0.0,993.0,36.27,11.8,47.55,11642.0,80407.0,16656.0,6916.0,2934.0,118555.0
2023,1,Tierra Del Fuego,24845.0,25052.0,2039.0,228.0,34.0,339.0,0.0,1.0,0.0,4575.0,14.58,30.9,104.23,12754.0,43146.0,405.0,157.0,651.0,57113.0
2023,1,Tucumán,54284.0,26199.0,62760.0,59931.0,4.0,42504.0,292.0,0.0,0.0,15126.0,95.79,14.95,60.34,55822.0,19482.0,180976.0,4293.0,527.0,261100.0
2022,4,Buenos Aires,593697.0,285052.0,1248607.0,1500382.0,240233.0,786683.0,42377.0,0.0,0.0,97634.0,111.0,26.72,78.94,325908.0,2767247.0,1499149.0,129910.0,72451.0,4794665.0
2022,4,Capital Federal,101585.0,38707.0,135694.0,537271.0,75249.0,539938.0,16710.0,0.0,0.0,106772.0,182.86,50.35,122.73,138753.0,1238196.0,138548.0,4603.0,31826.0,1551926.0
2022,4,Catamarca,8130.0,6867.0,31281.0,14136.0,42.0,8173.0,0.0,0.0,0.0,2280.0,83.33,16.73,65.77,8952.0,10998.0,47337.0,1379.0,2243.0,70909.0
2022,4,Chaco,35145.0,7451.0,29859.0,39098.0,1944.0,26209.0,48.0,0.0,0.0,3909.0,104.02,11.66,43.62,24582.0,61265.0,47285.0,7957.0,2574.0,143663.0
2022,4,Chubut,79187.0,41829.0,27166.0,524.0,1.0,26.0,0.0,0.0,0.0,20026.0,15.92,26.23,85.57,45450.0,73923.0,9815.0,30721.0,8850.0,168759.0
2022,4,Córdoba,261909.0,78425.0,208216.0,257342.0,475.0,225014.0,669.0,0.0,0.0,17610.0,108.77,27.26,89.03,152265.0,456947.0,367393.0,61631.0,11424.0,1049660.0
2022,4,Corrientes,50854.0,7450.0,29197.0,30979.0,2339.0,26568.0,68.0,0.0,0.0,7998.0,94.72,13.6,51.64,34038.0,80283.0,26752.0,9082.0,5298.0,155453.0
2022,4,Entre Ríos,97158.0,21686.0,55775.0,46874.0,1516.0,47846.0,119.0,0.0,0.0,0.0,87.47,19.14,64.01,55507.0,135746.0,40798.0,26414.0,12509.0,270974.0
